season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,label
1,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,low
1,1,0,0,0,2,0.363478,0.35373899999999997,0.696087,0.24853899999999998,low
1,1,0,1,1,1,0.196364,0.189405,0.43727299999999997,0.248309,low
1,1,0,2,1,1,0.2,0.21212199999999998,0.590435,0.160296,low
1,1,0,4,1,1,0.204348,0.23320900000000003,0.518261,0.0895652,low
1,1,0,5,1,2,0.196522,0.208839,0.49869600000000003,0.168726,low
1,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,low
1,1,0,0,0,1,0.13833299999999998,0.116175,0.434167,0.36195,low
1,1,0,2,1,2,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,low
1,1,0,4,1,1,0.165,0.150883,0.47041700000000003,0.301,low
1,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,low
1,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,low
1,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,low
1,1,0,2,1,2,0.216667,0.23233299999999998,0.861667,0.146775,low
1,1,0,3,1,2,0.292174,0.29842199999999997,0.741739,0.208317,low
1,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,low
1,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,low
1,1,0,1,1,1,0.0973913,0.11793,0.49173900000000004,0.15833,low
1,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,low
1,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,low
1,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,low
1,1,0,5,1,2,0.203478,0.22331700000000002,0.793043,0.1233,low
1,1,0,6,0,1,0.196522,0.212126,0.6517390000000001,0.14536500000000002,low
1,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,low
1,2,0,2,1,2,0.192174,0.23453000000000002,0.829565,0.053212999999999996,low
1,2,0,4,1,1,0.18695699999999998,0.177878,0.43782600000000005,0.277752,low
1,2,0,5,1,2,0.211304,0.22858699999999998,0.585217,0.127839,low
1,2,0,6,0,2,0.23333299999999998,0.243058,0.929167,0.161079,low
1,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,low
1,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,low
1,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,low
1,2,0,6,0,1,0.2225,0.232954,0.544167,0.20336700000000002,low
1,2,0,2,1,1,0.26608699999999996,0.254274,0.314348,0.29137399999999997,low
1,2,0,3,1,1,0.318261,0.3162,0.42347799999999997,0.251791,low
1,2,0,4,1,1,0.43583299999999997,0.428658,0.505,0.230104,low
1,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,low
1,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,low
1,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,low
1,2,0,3,1,1,0.221739,0.24571700000000002,0.423043,0.094113,low
1,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,low
1,2,0,6,0,1,0.2825,0.282192,0.537917,0.18657100000000001,low
1,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,low
1,2,0,1,1,2,0.407273,0.400118,0.8763639999999999,0.289686,low
1,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,low
1,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,low
1,3,0,0,0,2,0.37652199999999997,0.366252,0.948261,0.343287,low
1,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,low
1,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,low
1,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,low
1,3,0,4,1,3,0.38909099999999996,0.385668,0.0,0.26187699999999997,low
1,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,low
1,3,0,1,1,1,0.32521700000000003,0.332,0.496957,0.136926,low
1,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,low
1,3,0,3,1,2,0.365217,0.36693000000000003,0.776522,0.20311700000000002,low
1,3,0,5,1,1,0.54,0.5270090000000001,0.525217,0.231017,median
1,3,0,6,0,1,0.4725,0.466525,0.37916700000000003,0.368167,median
1,3,0,0,0,1,0.3325,0.32575,0.47375,0.20772100000000002,low
2,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,low
2,3,0,2,1,1,0.44166700000000003,0.44064200000000003,0.624583,0.22575,low
2,3,0,3,1,2,0.346957,0.337939,0.839565,0.23426100000000002,low
2,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,low
2,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,low
2,3,0,1,1,1,0.264348,0.25757399999999997,0.302174,0.212204,low
2,3,0,2,1,1,0.3025,0.292908,0.31416700000000003,0.226996,low
2,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,low
2,4,0,6,0,2,0.315,0.315637,0.65375,0.19714600000000002,low
2,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,median
2,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,low
2,4,0,4,1,1,0.4375,0.433696,0.602917,0.16231199999999998,median
2,4,0,6,0,2,0.3425,0.34152899999999997,0.8775,0.13308299999999998,low
